                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 5.0703,                  4.324,                 3.3586,                0.05215,                0.07342,                0.05132,                0.02018,                 5.4855,                  4.861,                 3.7085,             0.00089112,             0.00089112,             0.00089112
                     89,                 5.0963,                 4.3727,                 3.4451,                0.13821,                0.11772,                0.05588,                0.02265,                 5.4359,                 4.9668,                 3.6725,               0.000887,               0.000887,               0.000887
                     90,                 4.8222,                 4.0754,                  3.362,                0.14226,                 0.1292,                0.06534,                0.02793,                 5.4456,                 4.7943,                 3.6725,             0.00088288,             0.00088288,             0.00088288
                     91,                 5.0504,                 4.3272,                 3.2291,                0.16934,                0.13979,                0.07463,                0.02984,                 5.4235,                 4.7053,                 3.6307,             0.00087875,             0.00087875,             0.00087875
                     92,                 5.0352,                 4.0772,                 3.2353,                 0.1978,                0.14635,                0.07526,                0.02938,                  5.367,                 4.6635,                 3.6139,             0.00087462,             0.00087462,             0.00087462
                     93,                 4.9314,                 4.3412,                 3.2636,                0.14981,                0.12858,                0.08222,                0.02942,                 5.3108,                 4.5058,                 3.5208,              0.0008705,              0.0008705,              0.0008705
                     94,                 5.0263,                 4.1354,                 3.1841,                0.13915,                0.14032,                0.07313,                0.02774,                 5.2982,                 4.4233,                 3.5142,             0.00086637,             0.00086637,             0.00086637
                     95,                 4.9432,                 4.2391,                 3.2303,                0.13215,                0.16019,                0.07435,                0.02766,                 5.2665,                  4.413,                 3.5256,             0.00086225,             0.00086225,             0.00086225
                     96,                 4.9466,                 4.0214,                 3.1884,                0.08276,                0.12416,                0.07911,                0.02846,                 5.3543,                 4.5626,                 3.5411,             0.00085813,             0.00085813,             0.00085813
                     97,                 5.0422,                 4.2175,                 3.2039,                0.07404,                0.12699,                 0.0771,                0.02767,                 5.5296,                 4.6511,                 3.6353,               0.000854,               0.000854,               0.000854
                     98,                 4.9282,                 4.0472,                 3.1597,                0.12597,                0.12725,                0.07226,                 0.0272,                 5.5305,                 4.8097,                 3.6745,             0.00084988,             0.00084988,             0.00084988
                     99,                 4.7355,                 4.0857,                 3.1332,                0.10779,                0.09732,                0.06523,                0.02668,                 5.4445,                 4.8251,                 3.6576,             0.00084575,             0.00084575,             0.00084575
                    100,                 4.7931,                 4.1513,                 3.2614,                0.10881,                0.13247,                0.07935,                0.02814,                 5.4814,                 4.6183,                 3.6134,             0.00084162,             0.00084162,             0.00084162
                    101,                 4.8134,                  4.065,                  3.272,                0.09822,                 0.1118,                0.07527,                0.02971,                 5.3923,                 4.6515,                 3.5919,              0.0008375,              0.0008375,              0.0008375
                    102,                 4.7818,                 3.8634,                  3.198,                0.10208,                 0.1269,                0.07022,                0.03066,                 5.2883,                  4.665,                 3.5946,             0.00083337,             0.00083337,             0.00083337
                    103,                  4.715,                 4.0545,                 3.1168,                 0.0904,                0.13154,                0.06622,                0.02875,                 5.2972,                 4.7093,                 3.5894,             0.00082925,             0.00082925,             0.00082925
                    104,                 4.5133,                 3.8027,                 3.0967,                0.12428,                0.10483,                0.06444,                0.02121,                 5.5172,                 4.5518,                 3.6085,             0.00082513,             0.00082513,             0.00082513
                    105,                  4.859,                 4.0498,                 3.1836,                0.15674,                0.11262,                0.07576,                0.02697,                 5.4827,                 4.4634,                 3.5844,               0.000821,               0.000821,               0.000821
                    106,                 4.8479,                 3.9981,                 3.2623,                 0.1393,                0.11081,                0.08348,                 0.0316,                 5.4007,                 4.3906,                 3.5563,             0.00081688,             0.00081688,             0.00081688
                    107,                 4.7204,                 4.0306,                 3.1824,                0.14376,                0.15341,                0.08358,                0.03096,                 5.3048,                 4.5365,                 3.4894,             0.00081275,             0.00081275,             0.00081275
                    108,                 4.7703,                 4.1891,                 3.2304,                0.08624,                0.11737,                0.06579,                0.02617,                 5.3526,                 4.7916,                  3.527,             0.00080863,             0.00080863,             0.00080863
                    109,                 4.6195,                 3.9893,                 3.3076,                0.10659,                0.11763,                0.07286,                0.02751,                 5.3624,                 4.6674,                 3.5133,              0.0008045,              0.0008045,              0.0008045
                    110,                  4.728,                 4.0477,                 3.1963,                0.12127,                0.11234,                0.08428,                0.03236,                 5.2946,                 4.4604,                  3.479,             0.00080038,             0.00080038,             0.00080038
                    111,                 4.7816,                 4.0567,                 3.1856,                0.16017,                0.12188,                 0.0858,                0.03616,                 5.2633,                 4.4866,                 3.4422,             0.00079625,             0.00079625,             0.00079625
                    112,                 4.6563,                 3.9313,                 3.2104,                0.20563,                0.10376,                0.08752,                0.03779,                 5.2226,                 4.5498,                  3.462,             0.00079213,             0.00079213,             0.00079213
                    113,                 4.8035,                 3.9626,                  3.142,                 0.2623,                 0.0839,                0.06726,                0.02819,                 5.4086,                 4.9281,                 3.5838,               0.000788,               0.000788,               0.000788
                    114,                 4.6323,                 3.9611,                 3.1457,                0.16929,                0.09396,                0.07511,                0.02867,                 5.3455,                 4.6958,                  3.541,             0.00078387,             0.00078387,             0.00078387
                    115,                 4.6865,                 3.8688,                 3.0958,                0.12832,                 0.1451,                0.07741,                0.03091,                 5.2747,                 4.6519,                 3.4862,             0.00077975,             0.00077975,             0.00077975
                    116,                 4.7775,                 3.9715,                 3.0496,                0.12465,                0.12779,                0.07153,                0.03074,                 5.2676,                 4.6772,                 3.4892,             0.00077563,             0.00077563,             0.00077563
                    117,                  4.652,                 3.9181,                 3.0789,                0.12141,                 0.1292,                0.07493,                0.03122,                  5.286,                 4.5734,                 3.5203,              0.0007715,              0.0007715,              0.0007715
                    118,                 4.6016,                 3.8572,                 3.0792,                0.16016,                0.12081,                0.07345,                0.03089,                 5.3653,                 4.5552,                 3.5706,             0.00076738,             0.00076738,             0.00076738
                    119,                 4.8619,                 3.8798,                 3.0565,                0.11739,                0.16603,                0.08191,                0.03142,                  5.314,                 4.4773,                 3.5088,             0.00076325,             0.00076325,             0.00076325
                    120,                 4.5877,                 3.6822,                 3.0051,                0.12817,                0.16241,                0.08215,                0.03168,                 5.2779,                 4.3968,                 3.4886,             0.00075912,             0.00075912,             0.00075912
                    121,                 4.6212,                 3.8344,                  3.078,                0.10834,                0.12129,                0.07697,                0.03162,                 5.3063,                 4.3925,                 3.5165,               0.000755,               0.000755,               0.000755
                    122,                 4.7401,                 3.8152,                 3.0168,                0.18215,                0.13804,                0.09672,                0.03809,                 5.3281,                  4.519,                 3.5636,             0.00075088,             0.00075088,             0.00075088
                    123,                 4.5172,                 3.6804,                 3.0179,                0.17657,                0.12354,                0.10514,                0.04322,                 5.2949,                 4.4027,                 3.5249,             0.00074675,             0.00074675,             0.00074675
                    124,                 4.6696,                 3.7708,                 3.1764,                0.23001,                0.15684,                0.10747,                0.04453,                 5.3163,                 4.3474,                 3.5334,             0.00074263,             0.00074263,             0.00074263
                    125,                 4.5193,                 3.6901,                 3.0562,                0.22323,                0.16622,                0.11344,                0.04628,                 5.3822,                 4.3468,                 3.5426,              0.0007385,              0.0007385,              0.0007385
                    126,                 4.5642,                 3.7629,                  3.017,                0.19128,                0.16771,                0.10135,                0.04232,                 5.2928,                  4.379,                 3.5194,             0.00073437,             0.00073437,             0.00073437
                    127,                 4.5112,                 3.7121,                 3.0467,                0.18483,                0.15765,                0.11912,                0.04846,                 5.2104,                 4.4063,                 3.5401,             0.00073025,             0.00073025,             0.00073025
                    128,                  4.535,                  3.602,                 3.1218,                0.17692,                0.15208,                0.10859,                0.04999,                 5.3446,                 4.3637,                 3.5633,             0.00072612,             0.00072612,             0.00072612
                    129,                 4.6341,                  3.612,                 3.0346,                 0.2355,                0.15267,                0.11885,                 0.0507,                 5.3183,                 4.4193,                 3.5111,               0.000722,               0.000722,               0.000722
                    130,                 4.5516,                 3.7973,                   3.12,                0.21174,                0.16374,                0.11621,                0.04833,                 5.1475,                 4.1296,                 3.3602,             0.00071788,             0.00071788,             0.00071788
                    131,                 4.4297,                 3.5755,                 2.9164,                0.20196,                0.15064,                0.10639,                0.04825,                 5.1546,                 4.0876,                 3.4258,             0.00071375,             0.00071375,             0.00071375
